Name,Author,User Rating,Reviews,Price,Year,Genre,ficcao
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,0
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,0
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,1
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,0
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,1
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,0
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,1
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,1
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,1
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,0
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,0
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,1
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,1
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Non Fiction,0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,0
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,0
