codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
201,2020,4,12019000,21,160,SC,917800,28810,28809301,9872301
202,2020,3,12019000,21,493,MT,240152,46345,46343968,16165240
203,2020,4,12019000,21,160,ND,817800,76000,76000000,29046400
204,2020,4,12019000,21,827,RO,210200,26995,26994630,8713039
205,2020,3,12019000,21,160,MT,927700,7787,7786273,2707370
206,2020,4,12019000,21,245,MT,320151,7091,7091460,2398204
207,2020,4,12019000,21,573,ND,217800,80000,80000000,28588000
208,2020,2,12019000,21,245,PR,210200,8840,8840000,3141824
209,2020,4,12019000,21,160,PI,320151,54288,54288391,18036189
210,2020,2,12019000,21,670,SP,210200,478,478247,165378
211,2020,2,12019000,21,245,RO,227600,24397,24396204,8670378
212,2020,4,12019000,21,493,ND,210200,49500,49500000,16335000
213,2020,4,12019000,21,160,DF,917800,6,6000,1955
214,2020,3,12019000,21,858,GO,817800,4017,4017310,1366139
215,2020,4,12019000,21,160,MS,917800,22947,22947233,7650155
216,2020,4,12019000,21,63,MS,147852,92998,92997710,29630955
217,2020,4,12019000,21,59,RO,217800,2000,2000000,714700
218,2020,4,12019000,21,372,MS,817800,1174,1174232,419969
219,2020,4,12019000,21,858,MS,927700,20818,20818271,6676809
220,2020,4,12019000,21,87,MT,227600,11600,11600000,3884724
221,2020,2,12019000,21,160,MS,817800,20481,20481342,7200078
222,2020,1,12019000,21,160,SC,917800,15183,15182290,5714338
223,2020,4,12019000,21,160,PR,1017700,8283,8282921,2774654
224,2020,4,12019000,21,160,DF,817800,33,33149,11078
225,2020,3,12019000,21,190,MG,817800,1200,1200462,424904
226,2020,4,12019000,21,53,TO,217800,1273,1272945,456644
227,2020,4,12019000,21,493,PA,217800,8500,8500000,2902070
228,2020,4,12019000,21,827,RO,227600,2426,2426450,785466
229,2020,4,12019000,21,160,MS,927700,2180,2180099,741103
230,2020,3,12019000,21,351,RJ,717600,0,250,83
231,2020,3,12019000,21,858,MG,817800,4609,4609854,1612090
