PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 PAINEL LED 18W EMB.4000K,50,28.01, JULHO,650,285.87,13,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, JULHO,1015,485.17,29,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, JULHO,950,387.75,25,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, JULHO,330,165.51,3,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, JULHO,780,347.62,13,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, JULHO,640,291.84,16,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, JULHO,700,287.8,20,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, JULHO,825,333.25,25,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, JULHO,1050,595,35,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, JULHO,1050,609,35,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, JULHO,630,275.73,21,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, JULHO,720,271.68,24,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, JULHO,374,189.42,22,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, JULHO,324,148.68,18,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, JULHO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, JULHO,350,149.7,5,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, JULHO,0,0,0,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, JULHO,960,350.88,24,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, JULHO,400,186.08,8,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, JULHO,660,338.69,11,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, JULHO,935,352,11,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, JULHO,300,156.25,25,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, JULHO,450,192.78,18,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, JULHO,324,172.26,27,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, JULHO,260,92.3,13,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, JULHO,374,150.28,34,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, JULHO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, JULHO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, JULHO,0,0,0,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, JULHO,220,66.76,2,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, JULHO,540,279.72,12,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, JULHO,300,92.64,3,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, JULHO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, JULHO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, JULHO,1230,518.24,41,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, AGOSTO,2100,1141.5,15,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, AGOSTO,3024,1513.89,189,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, AGOSTO,8050,3657,23,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, AGOSTO,5950,2703,17,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, AGOSTO,4410,1960.14,14,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, AGOSTO,3120,1230,12,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, AGOSTO,1760,874.88,8,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, AGOSTO,3060,1649.34,34,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, AGOSTO,1815,880.44,33,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, AGOSTO,600,260.1,15,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, AGOSTO,1700,875.84,34,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, AGOSTO,1375,745,25,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, AGOSTO,175,73.9,5,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, AGOSTO,750,346.32,3,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, AGOSTO,475,259.73,19,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, AGOSTO,360,193.68,18,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, AGOSTO,2800,1436.75,35,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, AGOSTO,2145,1062.93,33,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, AGOSTO,900,460.8,18,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, AGOSTO,1485,729.27,27,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, AGOSTO,280,118,2,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, AGOSTO,140,56.42,1,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, AGOSTO,2340,1151.8,13,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, AGOSTO,625,281.75,25,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, AGOSTO,1800,798.3,15,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, AGOSTO,1740,751.39,29,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, AGOSTO,1485,747.9,27,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, AGOSTO,1900,811.49,19,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, AGOSTO,1440,651.84,12,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, AGOSTO,3400,1387.54,34,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, AGOSTO,4500,1937.5,50,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, AGOSTO,960,428.8,16,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, AGOSTO,2640,1057.32,66,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, AGOSTO,0,0,0,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, AGOSTO,0,0,0,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, AGOSTO,550,233.64,11,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, AGOSTO,720,328.96,16,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, AGOSTO,880,382.8,22,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, AGOSTO,840,422.1,21,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, AGOSTO,120,49.67,1,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, AGOSTO,360,136.89,3,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, AGOSTO,220,86.54,2,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, AGOSTO,224.91,91.26,9,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, AGOSTO,160.93,63,7,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, AGOSTO,120,43.49,1,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, AGOSTO,240,93.2,2,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, AGOSTO,410,151.7,41,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, AGOSTO,590,271.99,59,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, AGOSTO,80,34.44,4,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, AGOSTO,180,96.39,9,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, AGOSTO,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, AGOSTO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, AGOSTO,630,289.53,9,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, AGOSTO,720,416.61,9,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, AGOSTO,440,202.4,22,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, AGOSTO,380,185.06,19,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, AGOSTO,1365,526.11,39,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, AGOSTO,650,200.85,13,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, AGOSTO,279,102.49,1,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, AGOSTO,260,117,13,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, AGOSTO,648,115.2,36,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, AGOSTO,600,163.7,10,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, AGOSTO,0,0,0,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, AGOSTO,1080,376.2,9,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, AGOSTO,980,455.84,14,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, AGOSTO,1200,474.9,15,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, AGOSTO,700,307.86,14,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, AGOSTO,945,451.71,27,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, AGOSTO,1026,418.77,27,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, AGOSTO,440,220.68,4,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, AGOSTO,840,374.36,14,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, AGOSTO,560,255.36,14,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, AGOSTO,805,330.97,23,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, AGOSTO,825,333.25,25,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, AGOSTO,1110,629,37,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, AGOSTO,1020,591.6,34,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, AGOSTO,600,262.6,20,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, AGOSTO,780,294.32,26,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, AGOSTO,391,198.03,23,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, AGOSTO,288,132.16,16,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, AGOSTO,480,262.02,1,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, AGOSTO,280,119.76,4,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, AGOSTO,0,0,0,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, AGOSTO,1040,380.12,26,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, AGOSTO,450,209.34,9,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, AGOSTO,840,431.06,14,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, AGOSTO,935,352,11,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, AGOSTO,252,131.25,21,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, AGOSTO,425,182.07,17,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, AGOSTO,312,165.88,26,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, AGOSTO,300,106.5,15,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, AGOSTO,363,145.86,33,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, AGOSTO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, AGOSTO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, AGOSTO,0,0,0,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, AGOSTO,0,0,0,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, AGOSTO,585,303.03,13,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, AGOSTO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, AGOSTO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, AGOSTO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, AGOSTO,1320,556.16,44,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, SETEMBRO,2240,1217.6,16,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, SETEMBRO,3120,1561.95,195,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, SETEMBRO,8400,3816,24,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, SETEMBRO,5950,2703,17,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, SETEMBRO,4095,1820.13,13,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, SETEMBRO,3640,1435,14,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, SETEMBRO,2420,1202.96,11,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, SETEMBRO,3330,1794.87,37,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, SETEMBRO,1925,933.8,35,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, SETEMBRO,600,260.1,15,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, SETEMBRO,1800,927.36,36,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, SETEMBRO,1540,834.4,28,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, SETEMBRO,280,118.24,8,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, SETEMBRO,500,230.88,2,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, SETEMBRO,525,287.07,21,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, SETEMBRO,440,236.72,22,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, SETEMBRO,2880,1477.8,36,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, SETEMBRO,2340,1159.56,36,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, SETEMBRO,1100,563.2,22,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, SETEMBRO,1650,810.3,30,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, SETEMBRO,280,118,2,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, SETEMBRO,280,112.84,2,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, SETEMBRO,2340,1151.8,13,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, SETEMBRO,675,304.29,27,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, SETEMBRO,2040,904.74,17,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, SETEMBRO,1860,803.21,31,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, SETEMBRO,1760,886.4,32,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, SETEMBRO,2100,896.91,21,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, SETEMBRO,1680,760.48,14,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, SETEMBRO,3800,1550.78,38,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, SETEMBRO,4860,2092.5,54,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, SETEMBRO,780,348.4,13,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, SETEMBRO,2600,1041.3,65,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, SETEMBRO,0,0,0,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, SETEMBRO,140,59.84,2,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, SETEMBRO,550,233.64,11,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, SETEMBRO,765,349.52,17,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, SETEMBRO,1000,435,25,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, SETEMBRO,960,482.4,24,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, SETEMBRO,120,49.67,1,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, SETEMBRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, SETEMBRO,220,86.54,2,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, SETEMBRO,249.9,101.4,10,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, SETEMBRO,206.91,81,9,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, SETEMBRO,240,86.98,2,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, SETEMBRO,120,46.6,1,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, SETEMBRO,470,173.9,47,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, SETEMBRO,650,299.65,65,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, SETEMBRO,60,25.83,3,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, SETEMBRO,240,128.52,12,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, SETEMBRO,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, SETEMBRO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, SETEMBRO,630,289.53,9,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, SETEMBRO,800,462.9,10,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, SETEMBRO,400,184,20,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, SETEMBRO,400,194.8,20,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, SETEMBRO,1295,499.13,37,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, SETEMBRO,500,154.5,10,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, SETEMBRO,0,0,0,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, SETEMBRO,300,135,15,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, SETEMBRO,630,112,35,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, SETEMBRO,600,163.7,10,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, SETEMBRO,200,180.46,1,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, SETEMBRO,720,250.8,6,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, SETEMBRO,840,390.72,12,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, SETEMBRO,960,379.92,12,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, SETEMBRO,750,329.85,15,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, SETEMBRO,910,434.98,26,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, SETEMBRO,1026,418.77,27,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, SETEMBRO,550,275.85,5,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, SETEMBRO,900,401.1,15,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, SETEMBRO,520,237.12,13,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, SETEMBRO,770,316.58,22,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, SETEMBRO,891,359.91,27,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, SETEMBRO,1080,612,36,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, SETEMBRO,1080,626.4,36,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, SETEMBRO,690,301.99,23,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, SETEMBRO,750,283,25,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, SETEMBRO,408,206.64,24,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, SETEMBRO,288,132.16,16,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, SETEMBRO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, SETEMBRO,210,89.82,3,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, SETEMBRO,0,0,0,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, SETEMBRO,1000,365.5,25,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, SETEMBRO,350,162.82,7,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, SETEMBRO,780,400.27,13,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, SETEMBRO,1020,384,12,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, SETEMBRO,276,143.75,23,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, SETEMBRO,475,203.49,19,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, SETEMBRO,336,178.64,28,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, SETEMBRO,400,142,20,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, SETEMBRO,352,141.44,32,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, SETEMBRO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, SETEMBRO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, SETEMBRO,110,55.17,1,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, SETEMBRO,110,33.38,1,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, SETEMBRO,630,326.34,14,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, SETEMBRO,100,30.88,1,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, SETEMBRO,500,182.21,1,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, SETEMBRO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, SETEMBRO,1410,594.08,47,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, OUTUBRO,2800,1522,20,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, OUTUBRO,3216,1610.01,201,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, OUTUBRO,8400,3816,24,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, OUTUBRO,6300,2862,18,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, OUTUBRO,4410,1960.14,14,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, OUTUBRO,3900,1537.5,15,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, OUTUBRO,2640,1312.32,12,PAINEL
