PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, JANEIRO,149.94,60.84,6,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, JANEIRO,137.94,54,6,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, JANEIRO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, JANEIRO,120,46.6,1,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, JANEIRO,300,111,30,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, JANEIRO,420,193.62,42,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, JANEIRO,120,51.66,6,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, JANEIRO,140,74.97,7,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, JANEIRO,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, JANEIRO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, JANEIRO,420,193.02,6,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, JANEIRO,640,370.32,8,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, JANEIRO,420,193.2,21,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, JANEIRO,380,185.06,19,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, JANEIRO,1120,431.68,32,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, JANEIRO,650,200.85,13,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, JANEIRO,279,102.49,1,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, JANEIRO,320,144,16,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, JANEIRO,630,112,35,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, JANEIRO,540,147.33,9,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, JANEIRO,600,541.38,3,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, JANEIRO,1200,418,10,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, JANEIRO,980,455.84,14,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, JANEIRO,720,284.94,9,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, JANEIRO,650,285.87,13,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, JANEIRO,735,351.33,21,PLAFON
