cod,ano,cid1,cid2,num1,num2,num3,num4
3,2019,SÃO PAULO,RIO DE JANEIRO,15414,291694,48960,136
3,2019,SÃO PAULO,RIO DE JANEIRO,73113,1334600,231312,632
4,2019,RIO DE JANEIRO,SÃO PAULO,0,2715,360,1
4,2019,RIO DE JANEIRO,SÃO PAULO,15819,356794,48600,135
4,2019,RIO DE JANEIRO,SÃO PAULO,71224,1496600,224724,614
4,2019,SÃO PAULO,RIO DE JANEIRO,0,1679,360,1
4,2019,SÃO PAULO,RIO DE JANEIRO,14857,266961,46440,129
4,2019,SÃO PAULO,RIO DE JANEIRO,93,1798,366,1
4,2019,SÃO PAULO,RIO DE JANEIRO,71111,1349580,225090,615
5,2019,RIO DE JANEIRO,SÃO PAULO,0,2430,360,1
5,2019,RIO DE JANEIRO,SÃO PAULO,17462,391186,51840,144
5,2019,RIO DE JANEIRO,SÃO PAULO,141,,,
5,2019,RIO DE JANEIRO,SÃO PAULO,78822,1639470,240462,657
5,2019,SÃO PAULO,RIO DE JANEIRO,0,1610,360,1
5,2019,SÃO PAULO,RIO DE JANEIRO,16726,288254,49680,138
5,2019,SÃO PAULO,RIO DE JANEIRO,77008,1375240,240462,657
6,2019,RIO DE JANEIRO,SÃO PAULO,0,10514,1440,4
6,2019,RIO DE JANEIRO,SÃO PAULO,14975,344170,46440,129
6,2019,RIO DE JANEIRO,SÃO PAULO,0,2253,366,1
6,2019,RIO DE JANEIRO,SÃO PAULO,76947,1525960,223626,611
6,2019,SÃO PAULO,RIO DE JANEIRO,0,2715,360,1
6,2019,SÃO PAULO,RIO DE JANEIRO,16069,268377,46080,128
6,2019,SÃO PAULO,RIO DE JANEIRO,76274,1286160,226554,619
7,2019,RIO DE JANEIRO,SÃO PAULO,0,23679,3600,10
7,2019,RIO DE JANEIRO,SÃO PAULO,0,3084,360,1
7,2019,RIO DE JANEIRO,SÃO PAULO,17682,360702,48960,136
7,2019,RIO DE JANEIRO,SÃO PAULO,264,4609,732,2
7,2019,RIO DE JANEIRO,SÃO PAULO,73480,1408040,206058,563
7,2019,SÃO PAULO,RIO DE JANEIRO,0,3750,720,2
7,2019,SÃO PAULO,RIO DE JANEIRO,18279,289471,49680,138
7,2019,SÃO PAULO,RIO DE JANEIRO,339,6778,1098,3
7,2019,SÃO PAULO,RIO DE JANEIRO,69086,1162230,207522,567
8,2019,RIO DE JANEIRO,SÃO PAULO,0,14248,2160,6
8,2019,RIO DE JANEIRO,SÃO PAULO,17545,373985,50040,139
8,2019,RIO DE JANEIRO,SÃO PAULO,82070,1635940,237900,650
8,2019,SÃO PAULO,RIO DE JANEIRO,17384,297053,51120,142
8,2019,SÃO PAULO,RIO DE JANEIRO,77727,1295450,238266,651
9,2019,RIO DE JANEIRO,SÃO PAULO,0,9299,1440,4
9,2019,RIO DE JANEIRO,SÃO PAULO,16576,372633,49320,137
9,2019,RIO DE JANEIRO,SÃO PAULO,73790,1535200,220698,603
9,2019,SÃO PAULO,RIO DE JANEIRO,0,1679,360,1
9,2019,SÃO PAULO,RIO DE JANEIRO,16274,263657,46800,130
9,2019,SÃO PAULO,RIO DE JANEIRO,0,1770,366,1
9,2019,SÃO PAULO,RIO DE JANEIRO,72432,1205840,221430,605
10,2019,RIO DE JANEIRO,SÃO PAULO,0,8121,1080,3
10,2019,RIO DE JANEIRO,SÃO PAULO,19798,409352,52920,147
10,2019,RIO DE JANEIRO,SÃO PAULO,132,3335,366,1
10,2019,RIO DE JANEIRO,SÃO PAULO,76013,1615930,235338,643
10,2019,SÃO PAULO,RIO DE JANEIRO,18744,278758,49320,137
10,2019,SÃO PAULO,RIO DE JANEIRO,73107,1254450,236070,645
11,2019,RIO DE JANEIRO,SÃO PAULO,145,16474,2520,7
11,2019,RIO DE JANEIRO,SÃO PAULO,273,7892,1080,3
11,2019,RIO DE JANEIRO,SÃO PAULO,20027,380661,48960,136
11,2019,RIO DE JANEIRO,SÃO PAULO,170,,,
11,2019,RIO DE JANEIRO,SÃO PAULO,77467,1549750,228384,624
11,2019,SÃO PAULO,RIO DE JANEIRO,0,1650,360,1
11,2019,SÃO PAULO,RIO DE JANEIRO,21491,304771,51120,142
11,2019,SÃO PAULO,RIO DE JANEIRO,75117,1254870,230214,629
12,2019,RIO DE JANEIRO,SÃO PAULO,0,6874,1080,3
12,2019,RIO DE JANEIRO,SÃO PAULO,417,10492,1440,4
12,2019,RIO DE JANEIRO,SÃO PAULO,18715,392157,51120,142
12,2019,RIO DE JANEIRO,SÃO PAULO,120,8165,1098,3
12,2019,RIO DE JANEIRO,SÃO PAULO,167,4825,732,2
12,2019,RIO DE JANEIRO,SÃO PAULO,76984,1571440,227286,621
12,2019,SÃO PAULO,RIO DE JANEIRO,162,2253,360,1
12,2019,SÃO PAULO,RIO DE JANEIRO,23933,319972,51120,142
12,2019,SÃO PAULO,RIO DE JANEIRO,0,1582,366,1
12,2019,SÃO PAULO,RIO DE JANEIRO,85129,1303330,228018,623
1,2020,BRASÍLIA,SÃO PAULO,30119,899857,175473,201
2,2020,BRASÍLIA,SÃO PAULO,0,4523,873,1
3,2020,BRASÍLIA,SÃO PAULO,0,3357,873,1
4,2020,BRASÍLIA,SÃO PAULO,120,4438,873,1
5,2020,SÃO PAULO,BRASÍLIA,173,13573,2619,3
6,2020,BRASÍLIA,SÃO PAULO,37883,1074750,216504,248
7,2020,BRASÍLIA,SÃO PAULO,39449,1077120,219996,252
8,2020,BRASÍLIA,SÃO PAULO,43440,1165290,236583,271
9,2020,BRASÍLIA,SÃO PAULO,2297,85307,18333,21
10,2020,BRASÍLIA,SÃO PAULO,0,3591,873,1
11,2020,BRASÍLIA,SÃO PAULO,47894,1328490,268011,307
12,2020,BRASÍLIA,SÃO PAULO,47151,1308730,266265,305
1,2020,BUENOS AIRES,GUARULHOS,6199,331635,71148,42
2,2020,BUENOS AIRES,GUARULHOS,5477,282833,62678,37
3,2020,BUENOS AIRES,GUARULHOS,2646,138072,30492,18
1,2020,RIO DE JANEIRO,SÃO PAULO,144,10266,1440,4
2,2020,RIO DE JANEIRO,SÃO PAULO,174,13030,1800,5
3,2020,RIO DE JANEIRO,SÃO PAULO,135,27157,3960,11
4,2020,RIO DE JANEIRO,SÃO PAULO,148,10200,1440,4
5,2020,RIO DE JANEIRO,SÃO PAULO,0,2100,360,1
6,2020,RIO DE JANEIRO,SÃO PAULO,0,2276,360,1
7,2020,RIO DE JANEIRO,SÃO PAULO,110,10615,1440,4
8,2020,RIO DE JANEIRO,SÃO PAULO,0,2640,360,1
9,2020,RIO DE JANEIRO,SÃO PAULO,73770,1662010,227880,633
10,2020,RIO DE JANEIRO,SÃO PAULO,0,2447,360,1
11,2020,RIO DE JANEIRO,SÃO PAULO,19597,406948,53640,149
12,2020,RIO DE JANEIRO,SÃO PAULO,132,7920,1080,3
