codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
46910,INCIDENTE,SP,12/29/2012,20:00:00,0,NÃO,POUSO EM LOCAL NÃO PREVISTO,HELICÓPTERO,PRIVADA,NENHUM,2010,POUSO,0
46914,ACIDENTE,AM,2/2/2013,18:30:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,PRIVADA,SUBSTANCIAL,0,POUSO,1
46916,ACIDENTE,RS,1/29/2013,19:20:00,1,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,DESTRUÍDA,1994,VOO A BAIXA ALTURA,6
46918,INCIDENTE GRAVE,AM,1/26/2013,15:00:00,1,NÃO,FOGO EM VOO,HELICÓPTERO,TÁXI AÉREO,SUBSTANCIAL,1993,APROXIMAÇÃO FINAL,11
46919,INCIDENTE GRAVE,RJ,1/30/2013,14:15:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,TÁXI AÉREO,LEVE,1991,CORRIDA APÓS POUSO,6
46921,INCIDENTE,GO,1/25/2013,13:26:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,PRIVADA,LEVE,2009,POUSO,2
46922,INCIDENTE,AM,2/1/2013,19:15:00,0,NÃO,ESTOURO DE PNEU,ULTRALEVE,EXPERIMENTAL,LEVE,2009,TÁXI,8
46969,ACIDENTE,SP,2/3/2013,23:10:00,2,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,PRIVADA,DESTRUÍDA,2001,CRUZEIRO,2
46972,ACIDENTE,SC,1/31/2013,11:07:00,0,NÃO,POUSO BRUSCO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1980,POUSO,4
46973,ACIDENTE,MT,1/23/2013,21:50:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,SUBSTANCIAL,1969,CRUZEIRO,6
46977,ACIDENTE,SP,2/6/2013,22:00:00,0,NÃO,INDETERMINADO,AVIÃO,PRIVADA,SUBSTANCIAL,1973,INDETERMINADA,2
