MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jul/21,7,Jul,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,2272794.28,26301116.46,31942775.10,1055714.32
ago/21,8,ago,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,16554096.65,15176864.53,14686828.33,6139322.55
Mar/21,3,Mar,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,4228280.86,13982064.06,13951707.19,1465655.78
mai/21,5,mai,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,72737852.93,14446246.07,14652724.59,2142416.99
Jun/21,6,Jun,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,2144752.98,18582489.67,14679360.52,17349394.37
abr/21,4,abr,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,5875392.19,14412259.78,14099801.94,2186129.78
fev/21,2,fev,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,449431.48,13890469.42,14645719.10,2158937.82
Jul/21,7,Jul,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,4840271.64,14863292.80,18624661.99,2766799.71
Jan/21,1,Jan,21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,78826400.89,14786140.35,4767012.82,12767902.11
Mar/21,3,Mar,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,3803167.78,63196070.30,62371300.63,3184610.41
Jun/21,6,Jun,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,68599373.39,84845524.87,65464984.22,11675391.65
abr/21,4,abr,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,5854164.15,64092135.62,64183156.56,4136025.75
ago/21,8,ago,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,61398947.29,67844464.75,67643567.41,2535822.52
fev/21,2,fev,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,3299184.00,54958020.71,62379741.82,4635108.35
Jul/21,7,Jul,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,50510834.74,66167853.76,84421146.51,6923230.88
Jan/21,1,Jan,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,434165615.27,62666786.41,12640640.76,61971917.03
mai/21,5,mai,21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,31245107.31,63226427.30,63395521.77,2806953.22
fev/21,2,fev,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,5845997.40,64468493.72,66104669.57,8531839.02
Mar/21,3,Mar,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,6086228.00,68077474.04,66725197.50,2166219.36
abr/21,4,abr,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,12203715.73,68973482.05,68895159.81,5235582.68
ago/21,8,ago,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,28653058.79,70527098.53,70788009.21,2136347.45
Jan/21,1,Jan,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,379024262.71,65159559.37,21444456.03,56263060.45
mai/21,5,mai,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,108431801.34,73389912.83,71860782.17,1138331.89
