Tipo de violencia,Data,Região,Quantidade
homicidio doloso (exclui feminicidio),11/1/2020,Demacro,4.00
feminicidio,11/1/2020,Demacro,5.00
tentativa de homicidio,11/1/2020,Demacro,3.00
lesão corporal dolosa,11/1/2020,Demacro,824.00
maus tratos,11/1/2020,Demacro,3.00
ameaça,11/1/2020,Demacro,676.00
invasão de domicilio,11/1/2020,Demacro,1.00
estupro consumado,11/1/2020,Demacro,47.00
estupro tentado,11/1/2020,Demacro,10.00
homicidio doloso (exclui feminicidio),11/1/2020,Interior,13.00
feminicidio,11/1/2020,Interior,11.00
tentativa de homicidio,11/1/2020,Interior,26.00
lesão corporal dolosa,11/1/2020,Interior,2981.00
maus tratos,11/1/2020,Interior,28.00
ameaça,11/1/2020,Interior,3529.00
invasão de domicilio,11/1/2020,Interior,58.00
estupro consumado,11/1/2020,Interior,128.00
estupro tentado,11/1/2020,Interior,28.00
homicidio doloso (exclui feminicidio),12/1/2020,Capital,7.00
feminicidio,12/1/2020,Capital,6.00
tentativa de homicidio,12/1/2020,Capital,5.00
lesão corporal dolosa,12/1/2020,Capital,918.00
maus tratos,12/1/2020,Capital,3.00
ameaça,12/1/2020,Capital,811.00
invasão de domicilio,12/1/2020,Capital,2.00
estupro consumado,12/1/2020,Capital,48.00
estupro tentado,12/1/2020,Capital,12.00
homicidio doloso (exclui feminicidio),12/1/2020,Demacro,6.00
feminicidio,12/1/2020,Demacro,4.00
tentativa de homicidio,12/1/2020,Demacro,3.00
lesão corporal dolosa,12/1/2020,Demacro,802.00
maus tratos,12/1/2020,Demacro,4.00
ameaça,12/1/2020,Demacro,636.00
invasão de domicilio,12/1/2020,Demacro,4.00
estupro consumado,12/1/2020,Demacro,39.00
estupro tentado,12/1/2020,Demacro,7.00
homicidio doloso (exclui feminicidio),12/1/2020,Interior,11.00
feminicidio,12/1/2020,Interior,9.00
tentativa de homicidio,12/1/2020,Interior,19.00
lesão corporal dolosa,12/1/2020,Interior,2826.00
maus tratos,12/1/2020,Interior,23.00
ameaça,12/1/2020,Interior,3288.00
invasão de domicilio,12/1/2020,Interior,25.00
estupro consumado,12/1/2020,Interior,115.00
estupro tentado,12/1/2020,Interior,30.00
