Ano,mes,Empresa (nome),Empresa (sigla),Empresa (pais),Natureza,Passageiros,carga e correio (kg)
2020,2,OMNI TÃXI AÃ‰REO S.A.,OMI,BRASIL,DOMÃ‰STICA,2007,0
2020,2,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,INTERNACIONAL,99,1120
2020,2,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,3076,36633
2020,2,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,12457,175
2020,2,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,45393,15
2020,2,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,20134,1757234
2020,2,COMPAGNIE NATIONALE ROYAL AIR MAROC,RAM,MARROCOS,INTERNACIONAL,6663,183706
2020,2,SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED,SAA,ÃFRICA DO SUL,INTERNACIONAL,10496,118707
2020,2,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,INTERNACIONAL,142,0
2020,2,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,111,3143180
2020,2,SKY AIRLINES S.A.,SKU,CHILE,INTERNACIONAL,37752,0
