Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1708," $ 40,600.00 ",ford,expedition,2019,clean vehicle,39170,white,nevada, usa
1709," $ 55,000.00 ",ford,srw,2019,clean vehicle,16569,no_color,texas, usa
1710," $ 5,000.00 ",ford,door,2015,clean vehicle,80612,black,texas, usa
1711," $ 36,400.00 ",ford,max,2019,clean vehicle,36616,black,nevada, usa
1712," $ 7,500.00 ",ford,door,2015,clean vehicle,92165,white,texas, usa
1713," $ 14,700.00 ",ford,escape,2019,clean vehicle,44778,silver,nevada, usa
1714," $ 43,900.00 ",ford,explorer,2020,clean vehicle,2089,no_color,south carolina, usa
1715," $ 6,400.00 ",ford,door,2013,clean vehicle,91652,red,texas, usa
1716," $ 41,100.00 ",ford,expedition,2019,clean vehicle,35801,silver,nevada, usa
1717," $ 23,000.00 ",ford,door,2013,clean vehicle,88781,white,texas, usa
1718," $ 13,900.00 ",ford,escape,2019,clean vehicle,36978,blue,nevada, usa
1719," $ 19,000.00 ",ford,door,2012,clean vehicle,189776,white,texas, usa
1720," $ 34,800.00 ",ford,max,2019,clean vehicle,35233,white,nevada, usa
1721," $ 22,000.00 ",ford,door,2012,clean vehicle,151641,white,texas, usa
1722," $ 16,300.00 ",ford,escape,2019,clean vehicle,37044,white,nevada, usa
1723," $ 18,800.00 ",ford,escape,2019,clean vehicle,15835,green,virginia, usa
1724," $ 13,000.00 ",ford,cab,2012,clean vehicle,201187,white,texas, usa
1725," $ 40,900.00 ",ford,max,2019,clean vehicle,41928,black,nevada, usa
1726," $ 47,000.00 ",ford,expedition,2019,clean vehicle,37059,gray,virginia, usa
1727," $ 12,800.00 ",ford,door,2017,clean vehicle,33763,red,wisconsin, usa
1728," $ 25,500.00 ",ford,explorer,2019,clean vehicle,29850,gray,nevada, usa
1729," $ 17,800.00 ",ford,escape,2019,clean vehicle,26675,black,virginia, usa
1730," $ 25,700.00 ",ford,f-150,2019,clean vehicle,17828,black,nevada, usa
1731," $ 17,200.00 ",ford,escape,2019,clean vehicle,29632,white,virginia, usa
1732," $ 35,000.00 ",ford,srw,2019,clean vehicle,11544,white,new jersey, usa
1733," $ 28,800.00 ",ford,f-150,2019,clean vehicle,21976,white,nevada, usa
1734," $ 39,200.00 ",ford,max,2019,clean vehicle,43617,black,tennessee, usa
1735," $ 13,600.00 ",ford,escape,2019,clean vehicle,49254,gray,pennsylvania, usa
1736," $ 24,200.00 ",ford,f-150,2019,clean vehicle,51589,black,nevada, usa
1737," $ 46,900.00 ",ford,max,2019,clean vehicle,41399,gray,virginia, usa
1738," $ 26,500.00 ",ford,f-150,2019,clean vehicle,11734,gray,pennsylvania, usa
1739," $ 24,700.00 ",ford,explorer,2019,clean vehicle,41628,silver,nevada, usa
1740," $ 12,600.00 ",ford,focus,2017,clean vehicle,15075,gray,new jersey, usa
1741," $ 31,800.00 ",ford,f-150,2019,clean vehicle,26591,red,nevada, usa
1742," $ 24,500.00 ",ford,f-150,2019,clean vehicle,22906,white,nevada, usa
1743," $ 26,000.00 ",ford,f-150,2019,clean vehicle,33462,white,virginia, usa
1744," $ 21,000.00 ",ford,f-150,2017,clean vehicle,32747,gray,pennsylvania, usa
1745," $ 22,500.00 ",ford,f-150,2019,clean vehicle,33717,white,nevada, usa
1746," $ 7,700.00 ",ford,door,2017,clean vehicle,85218,black,pennsylvania, usa
1747," $ 23,100.00 ",ford,f-150,2019,clean vehicle,23512,red,nevada, usa
1748," $ 9,200.00 ",ford,door,2017,clean vehicle,57853,white,pennsylvania, usa
1749," $ 19,600.00 ",ford,mustang,2019,clean vehicle,33324,gray,nevada, usa
1750," $ 11,700.00 ",ford,door,2016,clean vehicle,23803,black,pennsylvania, usa
1751," $ 27,300.00 ",ford,mustang,2019,clean vehicle,31260,blue,nevada, usa
1752," $ 14,300.00 ",ford,edge,2016,clean vehicle,69428,white,pennsylvania, usa
1753," $ 23,600.00 ",ford,transit,2019,clean vehicle,15755,white,nevada, usa
1754," $ 6,200.00 ",ford,door,2016,clean vehicle,90946,gray,pennsylvania, usa
1755," $ 22,400.00 ",ford,wagon,2019,clean vehicle,51370,white,nevada, usa
1756," $ 5,700.00 ",ford,door,2016,clean vehicle,99941,black,pennsylvania, usa
1757," $ 23,600.00 ",ford,transit,2019,clean vehicle,15456,white,nevada, usa
1758," $ 4,600.00 ",ford,door,2016,clean vehicle,141603,gray,pennsylvania, usa
1759," $ 37,500.00 ",ford,srw,2019,clean vehicle,2382,silver,nevada, usa
1760," $ 10,700.00 ",ford,van,2016,clean vehicle,99544,white,pennsylvania, usa
1761," $ 31,900.00 ",ford,srw,2019,clean vehicle,21546,black,nevada, usa
1762," $ 31,600.00 ",ford,mustang,2019,clean vehicle,16293,black,georgia, usa
1763," $ 12,600.00 ",ford,escape,2018,clean vehicle,40375,gray,nevada, usa
1764," $ 5,300.00 ",ford,door,2013,clean vehicle,143191,gray,pennsylvania, usa
1765," $ 3,900.00 ",ford,fiesta,2018,clean vehicle,363,blue,nevada, usa
1766," $ 13,000.00 ",ford,edge,2015,clean vehicle,59656,gray,florida, usa
1767," $ 11,800.00 ",ford,ecosport,2018,clean vehicle,37878,black,nevada, usa
1768," $ 24,600.00 ",ford,edge,2019,clean vehicle,20628,black,georgia, usa
