FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92aca0ed_-315,4440,BAHIA,Dom Macedo Costa,2010,1668980078125,3951,422420019531,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3134,3510,MINAS GERAIS,Heliodora,2010,565883671875,6295,898941992188,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3113,4863,SÃO PAULO,Socorro,2010,4007020625,34447,1163241992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3105,1107,TOCANTINS,Xambioá,2010,1176271328125,11099,1059799023438,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-310,5250,SANTA CATARINA,Camboriú,2010,44547353125,57793,770808984375,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3079,1350,ESPIRITO SANTO,Águia Branca,2010,94435375,9503,99374296875,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3068,49,RIO GRANDE DO SUL,Três de Maio,2010,41794959375,23893,1749255078125,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3020,393,RIO GRANDE DO SUL,Colorado,2010,925333671875,3771,2453815039062,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-300a,81,BAHIA,Nova Soure,2010,7930559375,26874,295102001953,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2ffd,1374,MATO GROSSO DO SUL,Amambai,2010,355782875,34986,1016929003906,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2f9,5326,SANTA CATARINA,Içara,2010,9496170625,57103,1662990039062,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2f4,158,BAHIA,Ponto Novo,2010,5900653125,14734,400479003906,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2f18,4327,BAHIA,Canápolis,2010,32292515625,11136,289983007812,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2f0b,2192,BAHIA,Lamarão,,302413203125,12995,232714990234,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2eae,5303,TOCANTINS,Divinópolis do Tocantins,2010,492897421875,6623,744220996094,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2e62,3071,PARANÁ,Farol,2010,609150390625,3354,1816191015625,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2e5d,1362,AMAPÁ,Itaubal,2010,3205008203125,3650,878083984375,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2e39,4788,SÃO PAULO,Rio Claro,2010,4522813,191886,2357031054688,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2e26,3911,PARANÁ,Rebouças,2010,10090765625,14637,689400976562,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2e22,4094,MATO GROSSO,Nova Olímpia,2010,231758859375,20944,1106563964844,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2df7,154,BAHIA,Saubara,2010,5880634765625,11632,505556982422,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2df0,4391,BAHIA,Contendas do Sincorá,2010,1874791796875,3886,482447998047,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2de1,3280,MINAS GERAIS,Cordisburgo,2010,6487832421875,9465,685454980469,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c56,4226,SÃO PAULO,Bofete,2010,1162833046875,9375,1240354980469,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c18,5105,PARANÁ,Guaratuba,2010,30124590625,32806,918265039062,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c13,3542,SÃO PAULO,PINHALZINHO,2007,1122493671875,12591,891504980469,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c11,47,BAHIA,Morpará,2010,3477155859375,8871,391968994141,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c10,23,BAHIA,Pau Brasil,2010,4146512109375,12342,335967993164,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2c0d,279,BAHIA,São Desidério,2010,981035875,27513,356571796875,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2beb,3497,MINAS GERAIS,Guanhães,2010,258099421875,30638,842416015625,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2b73,4346,SÃO PAULO,Tupã,2010,926209,64098,1444987988281,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2b23,3493,MINAS GERAIS,Gouveia,2010,774290859375,11927,649191992188,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2afd,2120,MINAS GERAIS,Itanhandu,2010,18191540625,15253,1192653027344,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2af1,4417,BAHIA,Aurelino Leal,2010,575203515625,14280,402804003906,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2ac,5106,PARANÁ,Lapa,2010,5942105625,42933,1384041992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2aad,3795,PARANÁ,Rio Branco do Ivaí,2010,4299623828125,4006,1073295996094,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a8d,4262,SÃO PAULO,Cerqueira César,2010,242703625,17337,1399916992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a82,1583,CEARÁ,Hidrolândia,2010,761125234375,19252,395348999023,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a64,4021,MATO GROSSO,Vera,2010,23428215625,9502,2465608984375,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a29,2284,PARÁ,Mãe do Rio,2010,14447365625,29087,496695019531,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a26,2601,MINAS GERAIS,Novo Cruzeiro,2010,112729171875,31319,359938989258,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2a06,2405,PARAÍBA,Caiçara,2010,306227109375,7535,406406005859,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-29ed,5201,PIAUÍ,Juazeiro do Piauí,2010,1774800585938,4941,359198999023,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-29e8,1647,RIO GRANDE DO NORTE,Upanema,2010,815841875,13334,611850976562,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-29e0,4279,SÃO PAULO,Cruzeiro,2010,1022254625,79957,1278505957031,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-29c6,2653,MINAS GERAIS,Pará de Minas,2010,1348007875,84264,1599744042969,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2981,4389,BAHIA,Conde,2010,8853046875,23166,382157006836,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2972,4803,SÃO PAULO,Sandovalina,2010,224719375,3387,663476171875,Produto Interno Bruto per capita,52702.10 - 133669.00,4
vw_pib_percapita.fid--5b279956_17f92aca0ed_-296c,4301,SÃO PAULO,Fartura,2010,162512703125,14969,1085662011719,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-296a,724,ALAGOAS,Teotônio Vilela,2010,1869670625,41935,4459,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2967,3231,MINAS GERAIS,São Tiago,2010,69510375,10645,652985986328,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-294e,4940,SANTA CATARINA,Schroeder,2010,1858464375,14000,13275,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2943,3300,MINAS GERAIS,Cruzeiro da Fortaleza,2010,47836796875,3897,1227529003906,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2931,1508,RIO GRANDE DO SUL,Nova Petrópolis,2010,34313590625,18631,1841747070312,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-292e,558,RIO GRANDE DO SUL,Viamão,2010,1838203875,260740,704995019531,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2908,1256,ALAGOAS,Canapi,2010,5334525390625,18397,289966992188,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-2901,2674,PARANÁ,Indianópolis,2010,1259718359375,4258,2958474023438,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-28fd,4744,SÃO PAULO,Pirassununga,2010,1306196375,71470,1827615039062,Produto Interno Bruto per capita,9639.65 - 22144.80,2
