Ano,Órgão Superior,Órgão,Unidade Gestora,Origem,Categoria,Espécie,Detalhamento,Orçamento Atualizado (Valor Previsto),Receita Realizada (Valor Arrecadado),% Previsto/Realizado,Valor Lançado
2022,26000 - Ministério da Educação,26249 - Universidade Federal Rural do Rio de Janeiro ,153166 - UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19210301 - INDENIZACAO POR SINISTRO-PRINCIPAL,0.00,123389.19,0.00%,0.00
2022,30000 - Ministério da Justiça e Segurança Pública,30907 - Fundo Penitenciário Nacional,200333 - DEPEN - DIRETORIA EXECUTIVA,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.,0.00,236.46,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130331 - IRRF-REMESSA AO EXTERIOR-PRINCIPAL,295721482.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"158147 - INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",13 - Receita Patrimonial ,1 - Receitas Correntes,131 - Exploração do patrimônio imobiliário do Estado,13110112 - ALUGUEIS E ARRENDAMENTOS-MULTAS E JUROS,0.00,44.13,0.00%,0.00
2022,26000 - Ministério da Educação,26436 - Instituto Federal Sul-rio-grandense,"158126 - INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE",19 - Outras Receitas Correntes,1 - Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais ",19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.,0.00,5.08,0.00%,0.00
2022,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,158125 - INSTITUTO FEDERAL CATARINENSE - REITORIA,13 - Receita Patrimonial ,1 - Receitas Correntes,131 - Exploração do patrimônio imobiliário do Estado,13110201 - CONC/PERM/AUT/CESSAO DIR.USO IMOV.PUB-PRINC.,0.00,3700.00,0.00%,0.00
2022,30000 - Ministério da Justiça e Segurança Pública,30907 - Fundo Penitenciário Nacional,200333 - DEPEN - DIRETORIA EXECUTIVA,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL,0.00,111363.39,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53902 - Fundo Constitucional de Financiamento do Centro-Oeste,537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE,"71 - Impostos, Taxas e Contribuições de Melhoria",7 - Receitas Correntes - intra-orçamentárias,711 - Impostos,71130312 - IRRF-TRABALHO-MULTAS E JUROS-INTRA,5567.00,0.00,0.00%,0.00
2022,52000 - Ministério da Defesa,52904 - Fundo do Exército,167086 - FUNDO DO EXERCITO,16 - Receita de Serviços ,1 - Receitas Correntes,162 - Serviços e Atividades Referentes à Navegação e ao Transporte,16210202 - SERV.TRANSP.PASSAG.OU MERC.-MUL.JUR.,0.00,620.00,0.00%,0.00
2022,"22000 - Ministério da Agricultura, Pecuária e Abastecimento",22905 - Fundo de Defesa da Economia Cafeeira,130137 - FUNDO DE DEFESA DA ECON.CAFEEIRA/FUNCAFE/SPA,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.,0.00,-50000000.00,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,32396 - Agência Nacional de Mineração,323100 - SETORIAL ORCAMENTARIA E FINANCEIRA - ANM,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,112 - Taxas,"11210111 - TAXAS INSPECAO,CONTROLE E FISCALIZACAO-PRINC.",0.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"71 - Impostos, Taxas e Contribuições de Melhoria",7 - Receitas Correntes - intra-orçamentárias,711 - Impostos,71130331 - IRRF-REMESSA AO EXTERIOR-PRINCIPAL-INTRA,154.00,0.00,0.00%,0.00
2022,25000 - Ministério da Economia,25000 - Ministério da Economia - Unidades com vínculo direto,170010 - SECRETARIA ESP. DA RECEITA FEDERAL DO BRASIL,19 - Outras Receitas Correntes,1 - Receitas Correntes,199 - Demais receitas correntes,19909912 - OUTRAS RECEITAS-PRIMARIAS-MULTAS E JUROS,0.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53902 - Fundo Constitucional de Financiamento do Centro-Oeste,537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11140142 - IPI-VINCULADOS A IMPORTACAO-MULTAS E JUROS,221374.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26238 - Universidade Federal de Minas Gerais,153062 - UNIVERSIDADE FEDERAL DE MINAS GERAIS,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.,0.00,0.53,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,32210 - Agência Nacional de Energia Elétrica,323028 - AGENCIA NACIONAL DE ENERGIA ELETRICA,13 - Receita Patrimonial ,1 - Receitas Correntes,"133 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença",13340101 - CONC.SERV.GER.TRANSM.DISTR.ENER.ELET-PRINC.,0.00,26635960067.14,0.00%,0.00
2022,26000 - Ministério da Educação,26257 - Centro Federal de Educação Tecnológica de Minas Gerais,153015 - CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG,19 - Outras Receitas Correntes,1 - Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais ",19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.,35659.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,154047 - FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,22 - Alienação de Bens,2 - Receitas de Capital,221 - Alienação de bens móveis,22130101 - ALIENACAO DE BENS MOVEIS E SEMOVENTES-PRINC.,149290.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53901 - Fundo Constitucional de Financiamento do Norte,537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130203 - IRPJ-LIQUIDA DE INCENTIVOS-DIVIDA ATIVA,6421295.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53903 - Fundo Constitucional de Financiamento do Nordeste,537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11140152 - IPI-OUTROS PRODUTOS-MULTAS E JUROS,15645043.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,154032 - FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.,0.00,15.00,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,32000 - Ministério de Minas e Energia - Unidades com vínculo direto,320002 - COORD.GERAL DE ORCAM.E FIN./M.M.E,13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410431 - P.ESP.PETRO.PLAT-COM.ANT.3/12/12-DEMAIS-PRINC,255674590.00,0.00,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,29208 - Companhia de Pesquisa de Recursos Minerais,495001 - COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410431 - P.ESP.PETRO.PLAT-COM.ANT.3/12/12-DEMAIS-PRINC,255674590.00,0.00,0.00%,0.00
2022,25000 - Ministério da Economia,25000 - Ministério da Economia - Unidades com vínculo direto,170013 - SETORIAL ORCAMENTARIA E FINANCEIRA / ME,12 - Contribuições,1 - Receitas Correntes,121 - Contribuições sociais,12190513 - CONTRIBUICAO PARA O ENSINO AEROVIARIO-DIV.AT.,53621.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,153173 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,21 - Operações de Crédito ,2 - Receitas de Capital,212 - Operações de crédito - mercado externo,21220101 - OP.DE CREDITO CONTRATUAIS-MERC.EXTERNO-PRINC.,33000000.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53903 - Fundo Constitucional de Financiamento do Nordeste,537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11140158 - IPI-OUTROS PRODUTOS-JUROS DA DIVIDA ATIVA,4749882.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26264 - Universidade Federal Rural do Semi-Árido,153033 - UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN,19 - Outras Receitas Correntes,1 - Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais ",19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.,0.00,2798.13,0.00%,0.00
2022,26000 - Ministério da Educação,26248 - Universidade Federal Rural de Pernambuco,153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,17 - Transferências Correntes,1 - Receitas Correntes,174 - Transferências de Instituições Privadas,17410101 - TRANSF.REC.ORG.UNIAO CONV.INSTIT.PRIV.-PRINC.,0.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,154003 - FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,19 - Outras Receitas Correntes,1 - Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais ",19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.,190817.00,0.00,0.00%,0.00
2022,44000 - Ministério do Meio Ambiente,20701 - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,193034 - IBAMA - INST.BRASILEIRO MEIO AMBIENTE/MATRIZ,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110201 - INSCR.EM CONCURSOS E PROC.SELETIVOS-PRINCIPAL,0.00,3289732.00,0.00%,0.00
2022,54000 - Ministério do Turismo,20404 - Fundação Biblioteca Nacional,344042 - FUNDACAO BIBLIOTECA NACIONAL,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110102 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-MUL.JUR.,0.00,2.00,0.00%,0.00
2022,52000 - Ministério da Defesa,52911 - Fundo Aeronáutico,121002 - SECRETARIA DE ECON. E FIN.DA AER.- F.AER.,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110202 - INSCR.EM CONCURSOS E PROC.SELETIVOS-MUL.JUR.,0.00,50.00,0.00%,0.00
2022,25000 - Ministério da Economia,20202 - Fundação Escola Nacional de Administração Pública,114702 - FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,76 - Receita de Serviços ,7 - Receitas Correntes - intra-orçamentárias,761 - Serviços Administrativos e Comerciais Gerais,76110101 - SERV.ADMIN.E COMERCIAIS GERAIS-PRINC.-INTRA,1184.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,53902 - Fundo Constitucional de Financiamento do Centro-Oeste,537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,111 - Impostos,11130208 - IRPJ-LIQUIDA DE INCENTIVOS-JUROS DIV.ATIVA,5118889.00,0.00,0.00%,0.00
2022,41000 - Ministério das Comunicações,24216 - TELECOMUNICACOES BRASILEIRAS S/A,242160 - TELECOMUNICACOES BRASILEIRAS S/A,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.,0.00,2183.58,0.00%,0.00
